id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z
202,2025-07-23T13:34:42.210359,BP_TelemetryFPS4Character_C_0,-36.94,-166.01,-3605.3,653.73,263.21
203,2025-07-23T13:34:42.444333,BP_TelemetryFPS4Character_C_0,-35.96,177.45,-3610.97,674.26,261.67
204,2025-07-23T13:34:42.645441,BP_TelemetryFPS4Character_C_0,-40.89,79.68,-3507.85,743.09,268.47
205,2025-07-23T13:34:43.113373,BP_TelemetryFPS4Character_C_0,-42.52,87.41,-3505.96,743.02,270.75
206,2025-07-23T13:34:43.348830,BP_TelemetryFPS4Character_C_0,-43.37,95.45,-3503.99,742.91,272.23
207,2025-07-23T13:34:43.550516,BP_TelemetryFPS4Character_C_0,-34.27,-169.36,-3574.58,676.45,259.31
208,2025-07-23T13:34:43.987335,BP_TelemetryFPS4Character_C_0,-57.11,151.68,-3566.81,736.46,297.31
209,2025-07-23T13:34:44.223795,BP_TelemetryFPS4Character_C_0,-60.37,154.16,-3569.77,738.36,302.28
210,2025-07-23T13:34:44.425530,BP_TelemetryFPS4Character_C_0,-36.52,157.32,-3562.34,735.63,262.86
211,2025-07-23T13:34:44.860911,BP_TelemetryFPS4Character_C_0,-55.11,-176.33,-3575.51,674.43,292.08
212,2025-07-23T13:34:45.062194,BP_TelemetryFPS4Character_C_0,-60.57,177.01,-3579.76,673.46,302.32
213,2025-07-23T13:34:45.296320,BP_TelemetryFPS4Character_C_0,-54.62,-177.2,-3575.66,674.26,290.54
214,2025-07-23T13:34:45.498423,BP_TelemetryFPS4Character_C_0,-52.67,142.92,-3559.91,728.91,285.01
215,2025-07-23T13:34:45.967572,BP_TelemetryFPS4Character_C_0,-52.65,142.8,-3559.93,728.9,284.94
216,2025-07-23T13:34:46.168726,BP_TelemetryFPS4Character_C_0,-65.16,-137.0,-3583.61,648.33,304.51
217,2025-07-23T13:34:46.402695,BP_TelemetryFPS4Character_C_0,-58.84,99.5,-3538.91,769.1,300.3
218,2025-07-23T13:34:46.604173,BP_TelemetryFPS4Character_C_0,-40.28,104.92,-3536.64,763.61,267.59
219,2025-07-23T13:34:47.008285,BP_TelemetryFPS4Character_C_0,-35.14,162.02,-3568.54,714.21,260.62
220,2025-07-23T13:34:47.242043,BP_TelemetryFPS4Character_C_0,-54.47,161.81,-3571.78,715.23,290.09
221,2025-07-23T13:34:47.475474,BP_TelemetryFPS4Character_C_0,-59.76,165.33,-3574.47,716.57,301.44
222,2025-07-23T13:34:47.677205,BP_TelemetryFPS4Character_C_0,-42.95,168.04,-3568.31,715.6,270.69
223,2025-07-23T13:34:47.912127,BP_TelemetryFPS4Character_C_0,-42.93,168.08,-3568.3,715.61,270.67
224,2025-07-23T13:34:48.315643,BP_TelemetryFPS4Character_C_0,-37.89,-148.82,-3565.26,657.33,264.54
225,2025-07-23T13:34:48.550398,BP_TelemetryFPS4Character_C_0,-34.72,-153.52,-3565.55,655.89,260.15
226,2025-07-23T13:34:48.752452,BP_TelemetryFPS4Character_C_0,-34.62,118.8,-3532.68,763.31,259.99
227,2025-07-23T13:34:48.954575,BP_TelemetryFPS4Character_C_0,-34.84,-154.28,-3565.43,655.75,260.3
