id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z,aimbot
156,2025-07-08T18:01:17.058439,BP_TelemetryFPS4Character_C_0,-12.51,96.86,-2629.8,520.91,245.18,1
157,2025-07-08T18:01:17.259338,BP_TelemetryFPS4Character_C_0,-12.9,96.2,-2628.8,510.99,245.37,1
158,2025-07-08T18:01:17.459514,BP_TelemetryFPS4Character_C_0,-13.27,95.54,-2627.92,501.06,245.56,1
159,2025-07-08T18:01:17.660548,BP_TelemetryFPS4Character_C_0,-13.63,94.86,-2627.16,491.12,245.74,1
160,2025-07-08T18:01:17.861185,BP_TelemetryFPS4Character_C_0,-13.97,94.17,-2626.52,481.17,245.91,1
161,2025-07-08T18:01:18.095284,BP_TelemetryFPS4Character_C_0,-12.2,92.55,-2621.45,578.31,245.02,1
162,2025-07-08T18:01:18.297343,BP_TelemetryFPS4Character_C_0,-12.43,91.94,-2621.19,568.33,245.14,1
163,2025-07-08T18:01:18.499043,BP_TelemetryFPS4Character_C_0,-12.65,91.32,-2621.04,558.35,245.25,1
164,2025-07-08T18:01:18.732733,BP_TelemetryFPS4Character_C_0,-12.85,90.69,-2621,548.36,245.35,1
165,2025-07-08T18:01:18.932851,BP_TelemetryFPS4Character_C_0,-13.04,90.06,-2621.07,538.38,245.44,1
166,2025-07-08T18:01:19.133924,BP_TelemetryFPS4Character_C_0,-11.33,94.07,-2681.08,638.64,244.6,1
167,2025-07-08T18:01:19.333762,BP_TelemetryFPS4Character_C_0,-11.44,93.5,-2680.54,628.66,244.65,1
168,2025-07-08T18:01:19.568576,BP_TelemetryFPS4Character_C_0,-11.53,92.93,-2680.1,618.67,244.7,1
169,2025-07-08T18:01:19.770408,BP_TelemetryFPS4Character_C_0,-11.61,92.35,-2679.77,608.68,244.73,1
170,2025-07-08T18:01:19.972194,BP_TelemetryFPS4Character_C_0,-11.66,91.75,-2679.54,598.69,244.76,1
171,2025-07-08T18:01:20.173572,BP_TelemetryFPS4Character_C_0,-9.92,90.99,-2679.73,720.64,243.94,1
172,2025-07-08T18:01:20.372366,BP_TelemetryFPS4Character_C_0,-9.91,90.48,-2679.71,710.64,243.93,1
173,2025-07-08T18:01:20.607542,BP_TelemetryFPS4Character_C_0,-9.88,89.95,-2679.79,700.64,243.92,1
174,2025-07-08T18:01:20.809648,BP_TelemetryFPS4Character_C_0,-9.84,89.42,-2679.96,690.64,243.9,1
175,2025-07-08T18:01:21.010110,BP_TelemetryFPS4Character_C_0,-9.77,88.89,-2680.22,680.64,243.87,1
176,2025-07-08T18:01:21.211932,BP_TelemetryFPS4Character_C_0,-8.82,92.79,-2745.22,749.49,243.44,1
177,2025-07-08T18:01:21.446413,BP_TelemetryFPS4Character_C_0,-8.71,92.29,-2744.88,739.49,243.39,1
178,2025-07-08T18:01:21.647607,BP_TelemetryFPS4Character_C_0,-8.59,91.78,-2744.64,729.49,243.33,1
179,2025-07-08T18:01:21.847975,BP_TelemetryFPS4Character_C_0,-8.44,91.27,-2744.48,719.49,243.27,1
180,2025-07-08T18:01:22.081123,BP_TelemetryFPS4Character_C_0,-8.27,90.75,-2744.42,709.49,243.2,1
181,2025-07-08T18:01:22.280999,BP_TelemetryFPS4Character_C_0,-6.94,89.54,-2733.61,836.96,242.63,1
182,2025-07-08T18:01:22.483060,BP_TelemetryFPS4Character_C_0,-6.74,89.09,-2733.82,826.96,242.55,1
183,2025-07-08T18:01:22.683006,BP_TelemetryFPS4Character_C_0,-6.53,88.63,-2734.12,816.97,242.46,1
184,2025-07-08T18:01:22.917728,BP_TelemetryFPS4Character_C_0,-6.28,88.17,-2734.5,806.97,242.36,1
185,2025-07-08T18:01:23.117833,BP_TelemetryFPS4Character_C_0,-6.02,87.7,-2734.96,796.99,242.26,1
186,2025-07-08T18:01:23.319232,BP_TelemetryFPS4Character_C_0,-5.04,90.39,-2785.99,914.56,241.87,1
187,2025-07-08T18:01:23.519941,BP_TelemetryFPS4Character_C_0,-4.77,89.97,-2786.04,904.56,241.77,1
188,2025-07-08T18:01:23.754489,BP_TelemetryFPS4Character_C_0,-4.47,89.55,-2786.18,894.57,241.65,1
189,2025-07-08T18:01:23.956748,BP_TelemetryFPS4Character_C_0,-4.15,89.12,-2786.38,884.58,241.54,1
190,2025-07-08T18:01:24.158357,BP_TelemetryFPS4Character_C_0,-4.22,88.77,-2786.56,874.58,241.56,1
191,2025-07-08T18:01:24.358657,BP_TelemetryFPS4Character_C_0,-3.86,85.93,-2734.99,969.26,241.43,1
192,2025-07-08T18:01:24.593647,BP_TelemetryFPS4Character_C_0,-3.92,85.79,-2735.74,959.29,241.45,1
193,2025-07-08T18:01:24.794825,BP_TelemetryFPS4Character_C_0,-3.98,85.7,-2736.5,949.31,241.47,1
194,2025-07-08T18:01:24.996213,BP_TelemetryFPS4Character_C_0,-4.04,85.66,-2737.26,939.34,241.49,1
195,2025-07-08T18:01:25.230067,BP_TelemetryFPS4Character_C_0,-4.09,85.66,-2738.02,929.37,241.51,1
196,2025-07-08T18:01:25.429670,BP_TelemetryFPS4Character_C_0,-3.74,88.68,-2789.03,1032.48,241.39,1
197,2025-07-08T18:01:25.633509,BP_TelemetryFPS4Character_C_0,-3.77,88.75,-2789.04,1024.52,241.4,1
198,2025-07-08T18:01:25.833008,BP_TelemetryFPS4Character_C_0,-3.8,88.85,-2789.04,1015.98,241.41,1
199,2025-07-08T18:01:26.066940,BP_TelemetryFPS4Character_C_0,-3.83,88.98,-2789.04,1006.88,241.42,1
200,2025-07-08T18:01:26.268053,BP_TelemetryFPS4Character_C_0,-3.87,89.15,-2789.03,997.21,241.43,1
201,2025-07-08T18:01:26.502473,BP_TelemetryFPS4Character_C_0,-3.56,87.5,-2750.38,1090.24,241.32,1
202,2025-07-08T18:01:26.703794,BP_TelemetryFPS4Character_C_0,-3.56,87.7,-2750.51,1086.26,241.32,1
203,2025-07-08T18:01:26.906600,BP_TelemetryFPS4Character_C_0,-3.57,87.92,-2750.65,1081.71,241.33,1
204,2025-07-08T18:01:27.106304,BP_TelemetryFPS4Character_C_0,-3.58,88.18,-2750.79,1076.59,241.33,1
205,2025-07-08T18:01:27.306525,BP_TelemetryFPS4Character_C_0,-3.59,88.46,-2750.92,1070.9,241.33,1
206,2025-07-08T18:01:27.542658,BP_TelemetryFPS4Character_C_0,-3.57,90.1,-2769.97,1072.74,241.32,1
207,2025-07-08T18:01:27.742935,BP_TelemetryFPS4Character_C_0,-3.56,90.46,-2769.86,1072.17,241.32,1
208,2025-07-08T18:01:27.943695,BP_TelemetryFPS4Character_C_0,-3.55,90.82,-2769.75,1071.03,241.32,1
209,2025-07-08T18:01:28.180852,BP_TelemetryFPS4Character_C_0,-3.55,91.19,-2769.62,1069.33,241.32,1
210,2025-07-08T18:01:28.381596,BP_TelemetryFPS4Character_C_0,-3.54,91.56,-2769.47,1067.06,241.31,1
211,2025-07-08T18:01:28.615415,BP_TelemetryFPS4Character_C_0,-3.49,94.69,-2768.59,1072.8,241.3,1
212,2025-07-08T18:01:28.815977,BP_TelemetryFPS4Character_C_0,-3.52,95.1,-2768.42,1072.24,241.31,1
213,2025-07-08T18:01:29.019465,BP_TelemetryFPS4Character_C_0,-3.55,95.51,-2768.2,1071.12,241.32,1
214,2025-07-08T18:01:29.255893,BP_TelemetryFPS4Character_C_0,-3.58,95.92,-2767.92,1069.43,241.33,1
215,2025-07-08T18:01:29.456569,BP_TelemetryFPS4Character_C_0,-3.61,96.34,-2767.58,1067.18,241.34,1
216,2025-07-08T18:01:29.657133,BP_TelemetryFPS4Character_C_0,-5.31,99.78,-2767.06,1072.94,241.97,1
217,2025-07-08T18:01:29.892355,BP_TelemetryFPS4Character_C_0,-5.69,100.24,-2766.83,1072.4,242.12,1
218,2025-07-08T18:01:30.092577,BP_TelemetryFPS4Character_C_0,-6.06,100.7,-2766.49,1071.3,242.27,1
219,2025-07-08T18:01:30.325991,BP_TelemetryFPS4Character_C_0,-6.43,101.17,-2766.04,1069.64,242.42,1
